,HC-DN_pattern,PLS_C1,PLS_C2,PLS_C3,HC-DN_pattern_PLS_C1,HC-DN_pattern_PLS_C2,HC-DN_pattern_PLS_C3
Component: 1,0.2054577677195721,0.05796738233906762,-0.014855920068730804,-0.1050208582520676,0.005874156708489677,0.08133078608155767,-0.012553525960423067
Component: 2,0.07592764830807475,0.05771631684555744,-0.02426342775293357,-0.09776470500155075,0.08593476671936354,-0.07711495720238731,-0.029793787278760572
Component: 3,0.1655183923507874,0.0492983995441368,-0.0071045093917784345,-0.06458886552426414,-0.038409334736051466,-0.09286002973614606,0.11868862077164032
Component: 4,0.019758479290428496,0.05662223187651699,-0.02246861897732551,-0.07705346573418873,-0.04015448864532166,-0.05966335486980385,-0.10299407955853176
Component: 5,-0.1328039065457714,0.05494060881645262,-0.015352058432534746,-0.09821975981527438,0.06375603755017976,0.0838897718454424,-0.007686992879006584
Component: 6,-0.22666372032547466,0.030818490474753314,-0.019753853482861277,-0.09167708409199632,0.08298237760098708,0.08929164507380886,-0.06492949237431596
Component: 7,0.05731933372652769,0.05088110872034311,-0.002434283832267811,-0.058803232558733085,-0.02552783655619486,0.09191512139450835,0.14443040408840518
Component: 8,0.6428466882823088,0.08353053853958779,0.026227683652084135,-0.10056369185383544,0.09758765006822244,0.02801456376427836,-0.001683965453806943
Component: 9,0.242525409683643,0.05519619269746781,-0.0037826215662960347,-0.08489449976501433,-0.15576165267419137,-0.033021982833820206,0.0937048473443201
Component: 10,0.11850717095105293,0.07222806836765322,-0.02094052641601878,-0.08821262550736335,-0.011590582731873593,-0.05564941644803957,-0.07113557294340181
Component: 11,0.02467056053366698,0.0444026850090511,-0.01907717204499384,-0.09275712344169822,-0.048994211175452426,0.07359583660769992,0.06715547681517013
Component: 12,-0.08129009938608042,0.0656871569053532,-0.028163214855093762,-0.1196435094290315,0.008675709863797027,-0.12775390515304821,0.01683712606592417
Component: 13,0.32607495665196606,0.06881119960693156,-0.05052523927999832,-0.14354076456791726,-0.15410736468046138,0.10853969022457823,-0.08871720038096877
Component: 14,-0.2723880339451266,0.05793979981110975,-0.019143065680682903,-0.09574303604286748,-0.09809309691691567,-0.11177701716547415,0.10087676437055743
Component: 15,0.19998344547009045,0.05905639534676672,-0.023564973845137716,-0.09671980854257713,0.031858855187738344,-0.008357865145322564,0.013757307256822318
Component: 16,-0.24247829903284607,0.029117153419473064,-0.014905598500436051,-0.0871195695742133,-0.000501343683607866,0.02143460128269762,0.03653297974198562
Component: 17,0.0992294866710995,0.051634834708048256,-0.016570467853523885,-0.08760935611546297,-0.09692133472818162,-0.024139502712074136,-0.07859414110165894
Component: 18,0.19428188203417784,0.03314978153736597,0.0020039181508638986,-0.09997002265863353,0.009093936277721695,0.02566722452497731,0.16328561777757963
Component: 19,0.4305567843939052,0.07406137688716816,-0.025144131059083905,-0.0734987214128407,-0.019751994818060396,-0.06039983455480563,0.047068282755982335
Component: 20,-0.24496545580137077,0.03559356149578724,-0.006994772445596393,-0.09055940946532438,-0.054216708660323146,0.10791123673399006,-0.05785635654897305
Component: 21,0.12268942853390198,0.0489602566897709,-0.0045307618535098855,-0.1269392250831064,0.059224588264094005,0.08247364473310524,-0.08793798320194161
Component: 22,0.3371562714657707,0.05911007071040679,0.014388456710416376,-0.09572435355049826,0.003985745305019333,0.09490133518504691,-0.09693357382618414
Component: 23,0.10270432281832653,0.061976717945950936,-0.03654052381340348,-0.10630167508232949,0.08567499589736126,-0.048743058740580415,-0.05716223234780308
Component: 24,0.09735449339470242,0.05779902448564189,-0.012797928104858344,-0.10572458178444955,-0.056598160427289414,0.05465319007566154,0.0333401857230462
Component: 25,0.10202503940089648,0.051622345128781895,-0.02279123865288138,-0.09007799726515929,-0.008523830911988028,-0.013759044062767917,0.03346499450264679
Component: 26,-0.19620218481224547,0.033373945490718024,-0.00016207488871534416,-0.09348522210094523,0.1661218451477514,-0.1409144997000385,-0.07964373419426013
Component: 27,0.34845586591676425,0.07968802202487744,-0.01884765919330525,-0.08869170390661206,-0.006922948483251735,-0.0846311998121253,-0.1393542502561309
Component: 28,0.019090693335996077,0.07456748236816464,-0.004153960684384506,-0.1318310261539834,-0.10866229454493341,-0.026155492299067686,0.11098851779593893
Component: 29,0.0372438398958278,0.05468210454338256,-0.016097069532650676,-0.07246478305255079,0.06607776147389628,0.07748661158852749,-0.10422044017811516
Component: 30,0.09221171368387578,0.033523152411357886,-0.0212623708625713,-0.08840738024406204,0.14075967938149092,0.0015965138986778792,0.03954076918529228
