,HC-DN_pattern,PLS_C1,PLS_C2,PLS_C3,HC-DN_pattern_PLS_C1,HC-DN_pattern_PLS_C2,HC-DN_pattern_PLS_C3
Component: 1,0.16127144315887942,0.16155119099054238,-0.10285076014982336,-0.13107810928832153,-0.015545006100727912,-0.013689581815227244,0.10042915091480767
Component: 2,-0.21419657993482644,0.09647000415803121,-0.0969141782333659,-0.13561674620612854,0.14907675178400906,-0.13175657912903177,-0.020811439189782947
Component: 3,0.1787032085758677,0.17380654147568136,-0.10545197368442301,-0.14430684862856114,0.11317625536262896,0.17673743663977237,0.011921822733619488
Component: 4,-0.01399019187182389,0.16101029101272785,-0.10283064968004466,-0.14795947097195883,0.013159884361407604,-0.025318113562351915,-0.018639187721770343
Component: 5,-0.130631102263905,0.219162027746487,-0.11376703412399707,-0.17944651229059658,0.3534775172880866,-0.01141568248266466,-0.07213748461359638
Component: 6,0.08449572192130539,0.16230686510382458,-0.10789858065590759,-0.142030333767594,0.12951814338049755,-0.03158796081209337,0.0769002651299283
Component: 7,-0.15122542517527723,0.17245420391449126,-0.09761334622366223,-0.1469267673400474,-0.00494139629479459,0.020520829413820246,0.05195798674671676
Component: 8,0.1708329850921866,0.15717277019585926,-0.10521826464573625,-0.16060814003790955,-0.03943063400450131,-0.009515615873881117,-0.09696898164057477
Component: 9,-0.10236389259250285,0.16885050695025297,-0.09710865441448188,-0.15101381880246711,0.10405109023932914,0.006957746247562077,-0.09657730588841938
Component: 10,0.12031713278897335,0.15330698963013895,-0.10110273070489158,-0.15472777539996516,-0.08049233760882313,0.005707077961591474,-0.03547232467633258
Component: 11,0.08899872066881369,0.1894471777415196,-0.07661781344136627,-0.14788360027123884,0.18170876834096025,0.06472107963322467,0.06442215508379476
Component: 12,-0.003085142171574602,0.17359756067255327,-0.100204305019926,-0.14491766640395637,0.07138035066274473,0.09262150753372919,0.037560495165552765
Component: 13,0.12473972796616586,0.172062372355327,-0.12136167931423177,-0.14929995063727763,0.13290908038588262,-0.09326448846182331,-0.0607236732744587
Component: 14,-0.05708146334959314,0.167510346442655,-0.09623974700009841,-0.16082186727099393,0.07469096972943025,0.050488877122301136,0.11793135011796475
Component: 15,0.1303121531756105,0.17294457756156845,-0.10591571037570323,-0.15978568625789896,0.05805021139178021,0.06281561632939263,0.0666537573169757
Component: 16,0.06654579611067658,0.18208836692212338,-0.10113756329276608,-0.13908496396873823,0.1490777085692315,-0.012037335452025049,-0.011534483480629097
Component: 17,0.25886694876562844,0.19302043337932429,-0.08463163876238936,-0.13367380594468636,0.1810596726328103,0.008910234784838237,0.008842013575139541
